Timestamp,ISIN,Ticker,Reason
2026-02-09T20:01:15.885706,CLI_TEST_INVALID,XDEF,All providers failed
2026-02-09T20:01:23.381663,CLI_LOG_FAIL,XDEF,All providers failed
2026-02-09T20:01:27.673609,PAPER_OVERRIDE,OVERRIDE,All providers failed
2026-02-09T20:01:28.656067,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:01:28.658688,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:02:26.058837,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:02:26.584575,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:02:53.414065,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:02:53.865128,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:03:20.489860,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:03:20.997643,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:03:55.778304,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:03:56.275668,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:12:04.938308,PAPER_EDITME,EDITME,All providers failed
2026-02-09T20:12:05.405200,PAPER_EDITME,EDITME,All providers failed
