Timestamp,ISIN,Ticker,ALPHAVANTAGE,TWELVE_DATA,YAHOO
2026-02-08T00:47:25.524656,INVALID_ISIN,INVALID_TICKER,SKIPPED,SKIPPED,Yahoo API Error for INVALID_TICKER: No data found for ticker INVALID_TICKER from 2020-01-01
2026-02-08T00:51:07.238854,INVALID_ISIN,INVALID_TICKER,SKIPPED,SKIPPED,Yahoo API Error for INVALID_TICKER: No data found for ticker INVALID_TICKER from 2020-01-01
2026-02-08T16:36:13.810397,PAPER_OVERRIDE,OVERRIDE,SKIPPED,SKIPPED,Yahoo API Error for OVERRIDE: No data found for ticker OVERRIDE from 2020-01-01
2026-02-09T18:46:11.496085,PAPER_DUMMY,DUMMY,SKIPPED,SKIPPED,Yahoo API Error for DUMMY: No data found for ticker DUMMY from 2020-01-01
2026-02-09T18:46:34.827415,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:46:35.375823,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:46:35.377442,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:47:06.745401,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:47:07.261353,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:47:07.263233,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:47:38.334223,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
2026-02-09T18:47:38.807250,PAPER_EDITME,EDITME,SKIPPED,SKIPPED,Yahoo API Error for EDITME: No data found for ticker EDITME from 2020-01-01
